station_id,utc_time,weather,temperature,pressure,humidity,wind_speed,wind_direction
beijing_meo,2018-01-31 16:00:00,Sunny/clear,-4.8,1023.9,39,0.9,59
beijing_meo,2018-01-31 17:00:00,Sunny/clear,-6.1,1023.4,42,0.0,999017
beijing_meo,2018-01-31 18:00:00,Sunny/clear,-7.0,1023.1,45,0.5,178
beijing_meo,2018-01-31 19:00:00,Haze,-7.7,1022.8,47,0.0,999017
beijing_meo,2018-01-31 20:00:00,Sunny/clear,-6.3,1022.4,44,2.0,71
beijing_meo,2018-01-31 21:00:00,Sunny/clear,-5.6,1022.5,40,1.3,72
beijing_meo,2018-01-31 22:00:00,Sunny/clear,-5.8,1022.7,39,1.2,70
beijing_meo,2018-01-31 23:00:00,Sunny/clear,-7.7,1023.2,46,0.0,999017
beijing_meo,2018-02-01 00:00:00,Hail,-7.1,1024.1,47,0.2,999017
beijing_meo,2018-02-01 01:00:00,Hail,-3.5,1024.4,41,0.7,279
beijing_meo,2018-02-01 02:00:00,Sunny/clear,-0.7,1024.5,26,1.4,54
beijing_meo,2018-02-01 03:00:00,Sunny/clear,1.7,1024.2,20,3.1,339
beijing_meo,2018-02-01 04:00:00,Sunny/clear,3.2,1023.5,18,3.2,341
beijing_meo,2018-02-01 05:00:00,Sunny/clear,3.4,1022.7,18,2.6,14
beijing_meo,2018-02-01 06:00:00,Sunny/clear,4.9,1022.4,16,1.8,239
beijing_meo,2018-02-01 07:00:00,Sunny/clear,4.8,1022.5,15,1.8,278
beijing_meo,2018-02-01 08:00:00,Sunny/clear,5.0,1022.7,15,1.8,262
beijing_meo,2018-02-01 09:00:00,Sunny/clear,3.7,1023.6,18,4.2,1
beijing_meo,2018-02-01 10:00:00,Sunny/clear,3.2,1024.7,18,3.7,316
beijing_meo,2018-02-01 11:00:00,Sunny/clear,2.4,1026.2,23,4.1,334
beijing_meo,2018-02-01 12:00:00,Sunny/clear,2.0,1027.3,20,4.1,332
beijing_meo,2018-02-01 13:00:00,Sunny/clear,1.6,1028.4,15,5.7,324
beijing_meo,2018-02-01 14:00:00,Sunny/clear,0.2,1029.5,21,4.3,355
beijing_meo,2018-02-01 15:00:00,Sunny/clear,-1.0,1030.3,21,5.4,355
beijing_meo,2018-02-01 16:00:00,Sunny/clear,-2.4,1031.4,24,3.8,319
beijing_meo,2018-02-01 17:00:00,Sunny/clear,-3.2,1031.7,25,3.7,339
beijing_meo,2018-02-01 18:00:00,Sunny/clear,-3.5,1032.4,26,5.8,352
beijing_meo,2018-02-01 19:00:00,Sunny/clear,-4.0,1032.7,27,4.9,333
beijing_meo,2018-02-01 20:00:00,Sunny/clear,-4.4,1033.3,28,4.2,346
beijing_meo,2018-02-01 21:00:00,Sunny/clear,-5.0,1034.3,28,3.4,333
beijing_meo,2018-02-01 22:00:00,Sunny/clear,-5.6,1034.8,23,5.2,339
beijing_meo,2018-02-01 23:00:00,Sunny/clear,-6.2,1035.8,23,3.2,331
beijing_meo,2018-02-02 00:00:00,Sunny/clear,-6.3,1036.4,21,3.9,352
beijing_meo,2018-02-02 00:00:00,Sunny/clear,-6.3,1036.4,21,3.9,352
beijing_meo,2018-02-02 01:00:00,Sunny/clear,-5.8,1037.2,21,4.4,342
beijing_meo,2018-02-02 02:00:00,Sunny/clear,-4.9,1037.0,19,4.9,5
beijing_meo,2018-02-02 03:00:00,Sunny/clear,-4.0,1036.5,19,4.2,350
beijing_meo,2018-02-02 04:00:00,Sunny/clear,-3.3,1035.5,17,4.6,319
beijing_meo,2018-02-02 05:00:00,Sunny/clear,-2.7,1034.8,16,6.8,0
beijing_meo,2018-02-02 06:00:00,Sunny/clear,-2.1,1033.9,16,5.1,351
beijing_meo,2018-02-02 07:00:00,Sunny/clear,-1.5,1033.3,14,4.1,337
beijing_meo,2018-02-02 08:00:00,Sunny/clear,-1.5,1033.1,14,5.6,305
beijing_meo,2018-02-02 09:00:00,Sunny/clear,-1.8,1033.1,14,3.8,343
beijing_meo,2018-02-02 10:00:00,Sunny/clear,-2.3,1033.7,16,3.6,328
beijing_meo,2018-02-02 11:00:00,Sunny/clear,-2.6,1034.1,17,2.9,325
beijing_meo,2018-02-02 12:00:00,Sunny/clear,-2.8,1034.6,16,2.1,340
beijing_meo,2018-02-02 13:00:00,Sunny/clear,-4.0,1035.1,19,1.9,36
beijing_meo,2018-02-02 14:00:00,Sunny/clear,-4.7,1035.5,19,4.5,44
beijing_meo,2018-02-02 15:00:00,Sunny/clear,-5.5,1035.6,21,1.7,40
beijing_meo,2018-02-02 16:00:00,Sunny/clear,-6.5,1035.7,23,1.0,27
beijing_meo,2018-02-02 17:00:00,Sunny/clear,-7.6,1035.3,27,0.9,50
beijing_meo,2018-02-02 18:00:00,Sunny/clear,-7.1,1035.4,26,1.3,45
beijing_meo,2018-02-02 19:00:00,Sunny/clear,-8.4,1035.2,30,1.0,61
