,PM2.5,utc_time
0,402.6,2017-01-01 14:00:00
1,400.42857142857144,2017-01-01 15:00:00
2,393.4,2017-01-01 16:00:00
3,379.3142857142857,2017-01-01 17:00:00
4,346.3235294117647,2017-01-01 18:00:00
5,313.9714285714286,2017-01-01 19:00:00
6,259.1142857142857,2017-01-01 20:00:00
7,207.62857142857143,2017-01-01 21:00:00
8,155.68571428571428,2017-01-01 22:00:00
9,124.28571428571429,2017-01-01 23:00:00
10,122.62857142857143,2017-01-02 00:00:00
11,124.48571428571428,2017-01-02 01:00:00
12,135.6,2017-01-02 02:00:00
13,164.45714285714286,2017-01-02 03:00:00
14,200.6,2017-01-02 04:00:00
15,214.54285714285714,2017-01-02 05:00:00
16,187.77142857142857,2017-01-02 06:00:00
17,211.28571428571428,2017-01-02 07:00:00
18,221.91176470588235,2017-01-02 08:00:00
19,220.8,2017-01-02 09:00:00
20,206.2,2017-01-02 10:00:00
21,213.6,2017-01-02 11:00:00
22,221.34285714285716,2017-01-02 12:00:00
23,234.28571428571428,2017-01-02 13:00:00
24,250.4,2017-01-02 14:00:00
25,263.29411764705884,2017-01-02 15:00:00
26,280.8857142857143,2017-01-02 16:00:00
27,291.02941176470586,2017-01-02 17:00:00
28,289.77142857142854,2017-01-02 18:00:00
29,278.8285714285714,2017-01-02 19:00:00
30,265.7142857142857,2017-01-02 20:00:00
31,268.2352941176471,2017-01-02 21:00:00
32,265.51428571428573,2017-01-02 22:00:00
33,256.54285714285714,2017-01-02 23:00:00
34,243.54285714285714,2017-01-03 00:00:00
35,243.08823529411765,2017-01-03 01:00:00
36,258.57142857142856,2017-01-03 02:00:00
37,254.41176470588235,2017-01-03 03:00:00
38,263.74285714285713,2017-01-03 04:00:00
39,268.25714285714287,2017-01-03 05:00:00
40,265.94117647058823,2017-01-03 06:00:00
41,290.4,2017-01-03 07:00:00
42,327.2857142857143,2017-01-03 08:00:00
43,341.7647058823529,2017-01-03 09:00:00
44,374.6764705882353,2017-01-03 10:00:00
45,412.55882352941177,2017-01-03 11:00:00
46,445.1764705882353,2017-01-03 12:00:00
47,461.54545454545456,2017-01-03 13:00:00
48,456.6666666666667,2017-01-03 14:00:00
49,442.0967741935484,2017-01-03 15:00:00
50,437.3235294117647,2017-01-03 16:00:00
51,440.8484848484849,2017-01-03 17:00:00
52,426.46875,2017-01-03 18:00:00
53,419.2352941176471,2017-01-03 19:00:00
54,411.55882352941177,2017-01-03 20:00:00
55,392.88235294117646,2017-01-03 21:00:00
56,364.79411764705884,2017-01-03 22:00:00
57,336.0882352941176,2017-01-03 23:00:00
58,301.47058823529414,2017-01-04 00:00:00
59,302.11764705882354,2017-01-04 01:00:00
60,333.3333333333333,2017-01-04 02:00:00
61,322.52941176470586,2017-01-04 03:00:00
62,326.5882352941176,2017-01-04 04:00:00
